Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2003","2003","1000 USD","1313073","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2004","2004","1000 USD","1621736","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2005","2005","1000 USD","1716921","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2006","2006","1000 USD","2431570","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2007","2007","1000 USD","2831861","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2008","2008","1000 USD","7330616","X","Figure from external organization"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2009","2009","1000 USD","6342965","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2010","2010","1000 USD","7133441","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2011","2011","1000 USD","12599690","X","Figure from external organization"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2012","2012","1000 USD","11880050","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2013","2013","1000 USD","17147970","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2014","2014","1000 USD","16615160","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2015","2015","1000 USD","15787786","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2016","2016","1000 USD","14386114","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2017","2017","1000 USD","20310208","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2018","2018","1000 USD","27342586","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2019","2019","1000 USD","20452341","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2020","2020","1000 USD","20903177","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2021","2021","1000 USD","27208101","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2022","2022","1000 USD","31848678","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","156","China, mainland","5922","Export value","0141","Soya beans","2023","2023","1000 USD","38917721","A","Official figure"
"TM","Detailed trade matrix","854","Burkina Faso","156","China, mainland","5910","Export quantity","0141","Soya beans","2021","2021","t","250","A","Official figure"
"TM","Detailed trade matrix","854","Burkina Faso","156","China, mainland","5922","Export value","0141","Soya beans","2021","2021","1000 USD","90","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1988","1988","t","296","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1991","1991","t","620","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1992","1992","t","100","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1993","1993","t","252","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1994","1994","t","598","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1995","1995","t","2092","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1996","1996","t","2294","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1997","1997","t","6057","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1998","1998","t","37936","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","1999","1999","t","41252","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2000","2000","t","2886","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2001","2001","t","1764","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2002","2002","t","3618","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2003","2003","t","4143","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2004","2004","t","20431","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2005","2005","t","8815","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2006","2006","t","6031","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2007","2007","t","6738","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2008","2008","t","200893","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2009","2009","t","142699","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2010","2010","t","205208","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2011","2011","t","179989","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2012","2012","t","809790","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2013","2013","t","759251","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2014","2014","t","586685.37","A","Official figure"
